0,1,Apr,Aug,City,Country,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Ref.,Sep,Year
,"This article may be too long to read and navigate comfortably. Please consider splitting content into sub-articles, condensing it, or adding subheadings. (June 2017)",,,,,,,,,,,,,,,,
,,230.4,218.3,Bamako,Mali,268.9,253.0,277.4,216.6,233.6,268.1,242.6,270.7,253.7,[28],221.7,2954.1
,,258.0,319.0,Algiers,Algeria,136.0,165.0,149.0,350.0,318.0,202.0,319.0,165.0,229.0,[29],237.0,2847.0
,,327.0,331.7,Tamanrasset,Algeria,272.8,275.5,297.6,356.5,306.0,322.4,328.6,285.0,310.0,[30],288.0,3686.0
,,225.0,328.6,Tunis,Tunisia,148.8,165.3,145.7,356.5,309.0,198.4,282.1,174.0,217.0,[31],258.0,2808.4
,,267.0,353.4,Gabes,Tunisia,210.8,215.6,220.1,372.0,321.0,251.1,313.1,228.0,260.4,[32],279.0,3291.5
,,255.0,306.9,Rabat,Morocco,179.8,183.6,179.8,316.2,288.0,232.5,291.4,189.0,235.6,[33],261.0,2918.8
,,255.0,316.2,Marrakech,Morocco,220.1,211.8,220.1,334.8,315.0,248.0,288.3,213.0,244.9,[34],264.0,3131.2
,,315.2,293.2,Ouarzazate,Morocco,248.1,244.9,251.8,317.7,335.0,297.2,332.7,242.9,271.3,[35],266.4,3416.4
,,318.0,368.9,Alexandria,Egypt,207.7,226.2,217.0,372.0,357.0,279.0,337.9,246.0,306.9,[36],333.0,3579.5
,,306.0,356.5,Cairo,Egypt,210.8,234.9,229.4,372.0,363.0,279.0,331.7,246.0,294.5,[36],318.0,3541.8
,,315.0,375.1,Dakhla Oasis,Egypt,291.4,279.7,294.5,384.4,366.0,316.2,356.5,300.0,328.6,?,336.0,3943.4
,,285.6,322.4,Hurghada,Egypt,246.7,277.6,265.7,352.3,348.0,274.3,317.4,263.9,275.2,?,301.6,3530.7
,,330.0,372.0,Marsa Alam,Egypt,279.0,283.0,279.0,403.0,390.0,310.0,372.0,300.0,310.0,?,330.0,3958.0
,,250.0,352.0,Tripoli,Libya,198.0,214.0,206.0,376.0,312.0,237.0,315.0,212.0,244.0,[37],271.0,3187.0
,,252.0,365.8,Benghazi,Libya,167.4,192.0,179.8,381.3,327.0,232.5,319.3,213.0,251.1,[38],288.0,3169.2
,,225.0,244.9,Mombasa,Kenya,260.4,257.1,269.7,210.8,207.0,269.7,204.6,264.0,272.8,[39],246.0,2932.0
,,204.0,127.1,Nairobi,Kenya,257.3,266.0,288.3,130.2,159.0,266.6,189.1,198.0,226.3,[40],180.0,2491.9
,,273.0,257.3,Garissa,Kenya,241.8,235.2,251.1,254.2,255.0,263.5,282.1,252.0,279.0,[41],270.0,3114.2
,,279.0,310.0,Lodwar,Kenya,310.0,280.0,319.0,279.0,297.0,282.0,307.0,282.0,316.0,[24],321.0,3582.0
,,199.0,150.0,Luanda,Angola,212.0,208.0,219.0,175.0,223.0,213.0,233.0,199.0,164.0,[15],145.0,2341.0
,,195.0,213.9,Juba,South Sudan,251.1,237.8,288.3,182.9,225.0,220.1,241.8,237.0,235.6,[36],225.0,2753.5
,,228.0,192.2,Wau,South Sudan,303.8,269.7,300.7,176.7,237.0,260.4,254.2,267.0,229.4,[36],210.0,2929.1
,,156.0,242.0,Dar-es-Salaam,Tanzania,287.0,241.0,251.0,251.0,231.0,217.0,192.0,270.0,254.0,[15],243.0,2815.0
,,180.0,253.0,Zanzibar,Tanzania,259.0,243.0,251.0,235.0,220.0,213.0,210.0,250.0,270.0,[42],254.0,2838.0
,,227.0,297.0,Tabora,Tanzania,217.0,218.0,216.0,310.0,303.0,219.0,283.0,240.0,301.0,[42],312.0,3143.0
,,240.0,297.6,Dodoma,Tanzania,269.7,217.5,241.8,341.0,294.0,241.8,279.0,303.0,310.0,[43],300.0,3335.4
,,277.2,166.5,Mekelle,Ethiopia,303.5,276.7,294.2,165.5,230.1,279.9,303.2,292.8,291.1,[44],248.7,3129.4
,,213.0,83.7,Addis Abeba,Ethiopia,266.6,246.5,269.7,68.2,156.0,248.0,217.0,267.0,266.6,[36],138.0,2440.3
,,185.0,149.0,Brazaville,Congo,147.0,152.0,168.0,127.0,153.0,194.0,188.0,157.0,150.0,[2],145.0,1915.0
,,160.0,106.0,Pointe-Noire,Congo,144.0,156.0,157.0,119.0,132.0,164.0,150.0,123.0,93.0,[2],70.0,1574.0
,,152.0,105.0,Dolisie,Congo,133.0,164.0,153.0,119.0,136.0,159.0,151.0,128.0,116.0,[2],91.0,1607.0
,,150.0,155.0,Kinshasa,Democratic Republic of the Congo,124.0,140.0,124.0,124.0,120.0,155.0,155.0,150.0,155.0,[45],120.0,1672.0
,,234.0,318.0,Lubumbashi,Democratic Republic of the Congo,132.0,120.0,129.0,315.0,295.0,174.0,291.0,194.0,282.0,[15],294.0,2778.0
,,295.0,281.0,Nouadhibou,Mauritania,264.0,248.0,271.0,275.0,303.0,300.0,315.0,257.0,260.0,[2],261.0,3332.0
,,311.0,265.0,Nouakchott,Mauritania,267.0,250.0,267.0,271.0,284.0,302.0,320.0,268.0,263.0,[2],266.0,3333.0
,,246.6,296.0,Pretoria,South Africa,272.0,235.0,261.0,289.0,271.0,254.0,283.0,254.0,275.0,[46],284.0,3220.0
,,233.5,212.1,Cape Town,South Africa,334.2,297.4,337.9,193.1,175.4,292.9,205.3,309.8,277.7,[47],224.7,3094.0
,,236.9,284.1,Johannesburg,South Africa,263.9,224.8,250.1,283.9,266.9,238.8,276.0,248.7,269.5,[48],280.8,3124.4
,,250.2,285.9,Bloemfontein,South Africa,319.5,247.9,296.3,272.6,249.9,258.6,266.0,296.5,290.9,[49],278.0,3312.3
